Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1713823016,1,POST,/,0.400000,0.000000,6,6,7,7,18,18,18,18,18,18,18,9,0,6,10.802527666675765,4.1012750000106735,34.18438100001708,1533.0
1713823016,1,,Aggregated,0.400000,0.000000,6,6,7,7,18,18,18,18,18,18,18,9,0,6,10.802527666675765,4.1012750000106735,34.18438100001708,1533.0
1713823017,1,POST,/,0.400000,0.000000,6,6,7,7,18,18,18,18,18,18,18,10,0,6,10.097103800006835,3.748288999986471,34.18438100001708,1533.0
1713823017,1,,Aggregated,0.400000,0.000000,6,6,7,7,18,18,18,18,18,18,18,10,0,6,10.097103800006835,3.748288999986471,34.18438100001708,1533.0
1713823018,1,POST,/,0.400000,0.000000,6,6,7,7,18,18,18,18,18,18,18,10,0,6,10.097103800006835,3.748288999986471,34.18438100001708,1533.0
1713823018,1,,Aggregated,0.400000,0.000000,6,6,7,7,18,18,18,18,18,18,18,10,0,6,10.097103800006835,3.748288999986471,34.18438100001708,1533.0
1713823019,1,POST,/,0.600000,0.000000,7,18,54,54,78,78,78,78,78,78,78,12,0,6,19.369089500005526,3.748288999986471,77.5798059999886,1533.0
1713823019,1,,Aggregated,0.600000,0.000000,7,18,54,54,78,78,78,78,78,78,78,12,0,6,19.369089500005526,3.748288999986471,77.5798059999886,1533.0
1713823020,1,POST,/,0.600000,0.000000,6,18,54,54,78,78,78,78,78,78,78,12,0,6,19.369089500005526,3.748288999986471,77.5798059999886,1533.0
1713823020,1,,Aggregated,0.600000,0.000000,6,18,54,54,78,78,78,78,78,78,78,12,0,6,19.369089500005526,3.748288999986471,77.5798059999886,1533.0
1713823021,1,POST,/,0.800000,0.000000,6,6,18,54,78,78,78,78,78,78,78,14,0,6,17.11559850000453,2.63064999998619,77.5798059999886,1533.0
1713823021,1,,Aggregated,0.800000,0.000000,6,6,18,54,78,78,78,78,78,78,78,14,0,6,17.11559850000453,2.63064999998619,77.5798059999886,1533.0
1713823022,1,POST,/,0.800000,0.000000,6,18,54,54,78,78,78,78,78,78,78,14,0,6,17.11559850000453,2.63064999998619,77.5798059999886,1533.0
1713823022,1,,Aggregated,0.800000,0.000000,6,18,54,54,78,78,78,78,78,78,78,14,0,6,17.11559850000453,2.63064999998619,77.5798059999886,1533.0
1713823023,1,POST,/,0.700000,0.000000,6,6,18,54,78,78,78,78,78,78,78,16,0,5,15.38015168750384,2.63064999998619,77.5798059999886,1533.0
1713823023,1,,Aggregated,0.700000,0.000000,6,6,18,54,78,78,78,78,78,78,78,16,0,5,15.38015168750384,2.63064999998619,77.5798059999886,1533.0
1713823024,1,POST,/,0.700000,0.000000,5,6,6,54,78,78,78,78,78,78,78,16,0,5,15.38015168750384,2.63064999998619,77.5798059999886,1533.0
1713823024,1,,Aggregated,0.700000,0.000000,5,6,6,54,78,78,78,78,78,78,78,16,0,5,15.38015168750384,2.63064999998619,77.5798059999886,1533.0
1713823025,1,POST,/,0.700000,0.000000,5,6,6,54,78,78,78,78,78,78,78,16,0,5,15.38015168750384,2.63064999998619,77.5798059999886,1533.0
1713823025,1,,Aggregated,0.700000,0.000000,5,6,6,54,78,78,78,78,78,78,78,16,0,5,15.38015168750384,2.63064999998619,77.5798059999886,1533.0
1713823026,1,POST,/,0.900000,0.000000,4,5,54,54,78,78,78,78,78,78,78,17,0,5,14.738688058827165,2.63064999998619,77.5798059999886,1533.0
1713823026,1,,Aggregated,0.900000,0.000000,4,5,54,54,78,78,78,78,78,78,78,17,0,5,14.738688058827165,2.63064999998619,77.5798059999886,1533.0
1713823027,1,POST,/,0.900000,0.000000,4,5,54,54,78,78,78,78,78,78,78,17,0,5,14.738688058827165,2.63064999998619,77.5798059999886,1533.0
1713823027,1,,Aggregated,0.900000,0.000000,4,5,54,54,78,78,78,78,78,78,78,17,0,5,14.738688058827165,2.63064999998619,77.5798059999886,1533.0
1713823028,1,POST,/,0.700000,0.000000,4,5,11,54,78,78,78,78,78,78,78,19,0,5,13.925487105265539,2.63064999998619,77.5798059999886,1533.0
1713823028,1,,Aggregated,0.700000,0.000000,4,5,11,54,78,78,78,78,78,78,78,19,0,5,13.925487105265539,2.63064999998619,77.5798059999886,1533.0
1713823029,1,POST,/,0.800000,0.000000,4,4,5,6,11,11,11,11,11,11,11,21,0,5,13.00036257143098,2.63064999998619,77.5798059999886,1533.0
1713823029,1,,Aggregated,0.800000,0.000000,4,4,5,6,11,11,11,11,11,11,11,21,0,5,13.00036257143098,2.63064999998619,77.5798059999886,1533.0
1713823030,1,POST,/,0.800000,0.000000,4,4,5,6,11,11,11,11,11,11,11,21,0,5,13.00036257143098,2.63064999998619,77.5798059999886,1533.0
1713823030,1,,Aggregated,0.800000,0.000000,4,4,5,6,11,11,11,11,11,11,11,21,0,5,13.00036257143098,2.63064999998619,77.5798059999886,1533.0
1713823031,1,POST,/,0.700000,0.000000,4,4,5,6,11,11,11,11,11,11,11,22,0,5,12.57025827272881,2.63064999998619,77.5798059999886,1533.0
1713823031,1,,Aggregated,0.700000,0.000000,4,4,5,6,11,11,11,11,11,11,11,22,0,5,12.57025827272881,2.63064999998619,77.5798059999886,1533.0
1713823032,1,POST,/,0.700000,0.000000,4,4,6,6,11,11,11,11,11,11,11,22,0,5,12.57025827272881,2.63064999998619,77.5798059999886,1533.0
1713823032,1,,Aggregated,0.700000,0.000000,4,4,6,6,11,11,11,11,11,11,11,22,0,5,12.57025827272881,2.63064999998619,77.5798059999886,1533.0
1713823033,1,POST,/,0.900000,0.000000,4,5,6,6,11,11,11,11,11,11,11,24,0,5,11.96149670833672,2.63064999998619,77.5798059999886,1533.0
1713823033,1,,Aggregated,0.900000,0.000000,4,5,6,6,11,11,11,11,11,11,11,24,0,5,11.96149670833672,2.63064999998619,77.5798059999886,1533.0
1713823034,1,POST,/,0.900000,0.000000,5,6,6,6,11,11,11,11,11,11,11,24,0,5,11.96149670833672,2.63064999998619,77.5798059999886,1533.0
1713823034,1,,Aggregated,0.900000,0.000000,5,6,6,6,11,11,11,11,11,11,11,24,0,5,11.96149670833672,2.63064999998619,77.5798059999886,1533.0
1713823035,1,POST,/,0.800000,0.000000,4,5,6,6,11,11,11,11,11,11,11,26,0,5,11.271329846156146,2.416511999967952,77.5798059999886,1533.0
1713823035,1,,Aggregated,0.800000,0.000000,4,5,6,6,11,11,11,11,11,11,11,26,0,5,11.271329846156146,2.416511999967952,77.5798059999886,1533.0
1713823036,1,POST,/,0.800000,0.000000,4,4,6,6,6,11,11,11,11,11,11,28,0,5,10.716370607142826,2.416511999967952,77.5798059999886,1533.0
1713823036,1,,Aggregated,0.800000,0.000000,4,4,6,6,6,11,11,11,11,11,11,28,0,5,10.716370607142826,2.416511999967952,77.5798059999886,1533.0
1713823037,1,POST,/,0.800000,0.000000,4,5,6,6,6,11,11,11,11,11,11,28,0,5,10.716370607142826,2.416511999967952,77.5798059999886,1533.0
1713823037,1,,Aggregated,0.800000,0.000000,4,5,6,6,6,11,11,11,11,11,11,28,0,5,10.716370607142826,2.416511999967952,77.5798059999886,1533.0
1713823038,1,POST,/,1.000000,0.000000,4,4,5,5,6,6,6,6,6,6,6,30,0,4,10.216583266667575,2.416511999967952,77.5798059999886,1533.0
1713823038,1,,Aggregated,1.000000,0.000000,4,4,5,5,6,6,6,6,6,6,6,30,0,4,10.216583266667575,2.416511999967952,77.5798059999886,1533.0
1713823039,1,POST,/,1.000000,0.000000,4,4,5,5,6,6,6,6,6,6,6,30,0,4,10.216583266667575,2.416511999967952,77.5798059999886,1533.0
1713823039,1,,Aggregated,1.000000,0.000000,4,4,5,5,6,6,6,6,6,6,6,30,0,4,10.216583266667575,2.416511999967952,77.5798059999886,1533.0
1713823040,1,POST,/,1.100000,0.000000,4,4,4,5,6,6,6,6,6,6,6,31,0,4,10.002902806453376,2.416511999967952,77.5798059999886,1533.0
1713823040,1,,Aggregated,1.100000,0.000000,4,4,4,5,6,6,6,6,6,6,6,31,0,4,10.002902806453376,2.416511999967952,77.5798059999886,1533.0
1713823041,1,POST,/,1.100000,0.000000,4,4,4,5,6,6,6,6,6,6,6,31,0,4,10.002902806453376,2.416511999967952,77.5798059999886,1533.0
1713823041,1,,Aggregated,1.100000,0.000000,4,4,4,5,6,6,6,6,6,6,6,31,0,4,10.002902806453376,2.416511999967952,77.5798059999886,1533.0
1713823042,1,POST,/,1.100000,0.000000,4,4,4,5,6,6,6,6,6,6,6,31,0,4,10.002902806453376,2.416511999967952,77.5798059999886,1533.0
1713823042,1,,Aggregated,1.100000,0.000000,4,4,4,5,6,6,6,6,6,6,6,31,0,4,10.002902806453376,2.416511999967952,77.5798059999886,1533.0
