Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,45,0,4,10.805815288891077,1.8740849999971942,77.5798059999886,1533.0,0.7765886770385988,0.0,4,6,7,12,34,54,78,78,78,78,78
,Aggregated,45,0,4,10.805815288891077,1.8740849999971942,77.5798059999886,1533.0,0.7765886770385988,0.0,4,6,7,12,34,54,78,78,78,78,78
